Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
Mon Nov 7 2022,9:45p,Brooklyn Nets,94,Dallas Mavericks,96,Box Score,,20011.0,American Airlines Center,
Mon Nov 7 2022,10:00p,Sacramento Kings,113,Golden State Warriors,116,Box Score,,18064.0,Chase Center,
Mon Nov 7 2022,10:15p,Los Angeles Lakers,116,Utah Jazz,139,Box Score,,18206.0,Vivint Arena,
Mon Nov 7 2022,10:30p,Cleveland Cavaliers,117,Los Angeles Clippers,119,Box Score,,16516.0,Crypto.com Arena,
Wed Nov 9 2022,5:30p,Dallas Mavericks,87,Orlando Magic,94,Box Score,,18165.0,Amway Center,
Wed Nov 9 2022,7:00p,Portland Trail Blazers,105,Charlotte Hornets,95,Box Score,,14774.0,Spectrum Center,
Wed Nov 9 2022,7:00p,Denver Nuggets,122,Indiana Pacers,119,Box Score,,14069.0,Gainbridge Fieldhouse,
Wed Nov 9 2022,7:30p,Utah Jazz,125,Atlanta Hawks,119,Box Score,,15845.0,State Farm Arena,
Wed Nov 9 2022,7:30p,Detroit Pistons,112,Boston Celtics,128,Box Score,,19156.0,TD Garden,
Wed Nov 9 2022,7:30p,New York Knicks,85,Brooklyn Nets,112,Box Score,,18156.0,Barclays Center,
Wed Nov 9 2022,7:30p,Houston Rockets,109,Toronto Raptors,116,Box Score,,19800.0,Scotiabank Arena,
Wed Nov 9 2022,8:00p,New Orleans Pelicans,115,Chicago Bulls,111,Box Score,,19621.0,United Center,
Wed Nov 9 2022,8:00p,Phoenix Suns,129,Minnesota Timberwolves,117,Box Score,,16062.0,Target Center,
Wed Nov 9 2022,8:00p,Milwaukee Bucks,136,Oklahoma City Thunder,132,Box Score,2OT,15180.0,Paycom Center,
Wed Nov 9 2022,8:00p,Memphis Grizzlies,124,San Antonio Spurs,122,Box Score,OT,13507.0,AT&T Center,
Wed Nov 9 2022,10:00p,Los Angeles Lakers,101,Los Angeles Clippers,114,Box Score,,19068.0,Crypto.com Arena,
Wed Nov 9 2022,10:00p,Cleveland Cavaliers,120,Sacramento Kings,127,Box Score,,13816.0,Golden 1 Center,
Thu Nov 10 2022,7:00p,Dallas Mavericks,105,Washington Wizards,113,Box Score,,18320.0,Capital One Arena,
Thu Nov 10 2022,7:30p,Philadelphia 76ers,95,Atlanta Hawks,104,Box Score,,16066.0,State Farm Arena,
Thu Nov 10 2022,7:30p,Charlotte Hornets,112,Miami Heat,117,Box Score,OT,19600.0,Kaseya Center,
Thu Nov 10 2022,8:00p,Portland Trail Blazers,106,New Orleans Pelicans,95,Box Score,,14289.0,Smoothie King Center,
Fri Nov 11 2022,7:00p,Denver Nuggets,112,Boston Celtics,131,Box Score,,19156.0,TD Garden,
Fri Nov 11 2022,7:00p,Phoenix Suns,97,Orlando Magic,114,Box Score,,15879.0,Amway Center,
Fri Nov 11 2022,7:30p,Detroit Pistons,112,New York Knicks,121,Box Score,,19812.0,Madison Square Garden (IV),
Fri Nov 11 2022,8:00p,Toronto Raptors,113,Oklahoma City Thunder,132,Box Score,,16104.0,Paycom Center,
Fri Nov 11 2022,8:00p,Milwaukee Bucks,93,San Antonio Spurs,111,Box Score,,15642.0,AT&T Center,
Fri Nov 11 2022,9:30p,Minnesota Timberwolves,103,Memphis Grizzlies,114,Box Score,,16939.0,FedEx Forum,
Fri Nov 11 2022,10:00p,Cleveland Cavaliers,101,Golden State Warriors,106,Box Score,,18064.0,Chase Center,
Fri Nov 11 2022,10:30p,Sacramento Kings,120,Los Angeles Lakers,114,Box Score,,17849.0,Crypto.com Arena,
Sat Nov 12 2022,4:00p,Brooklyn Nets,110,Los Angeles Clippers,95,Box Score,,17777.0,Crypto.com Arena,
Sat Nov 12 2022,6:00p,Utah Jazz,112,Washington Wizards,121,Box Score,,13673.0,Capital One Arena,
Sat Nov 12 2022,7:00p,Boston Celtics,117,Detroit Pistons,108,Box Score,,20190.0,Little Caesars Arena,
Sat Nov 12 2022,7:00p,Toronto Raptors,104,Indiana Pacers,118,Box Score,,13089.0,Gainbridge Fieldhouse,
Sat Nov 12 2022,7:30p,Atlanta Hawks,109,Philadelphia 76ers,121,Box Score,,20245.0,Wells Fargo Center,
Sat Nov 12 2022,8:00p,Charlotte Hornets,115,Miami Heat,132,Box Score,,19600.0,Kaseya Center,
Sat Nov 12 2022,8:30p,Portland Trail Blazers,112,Dallas Mavericks,117,Box Score,,20277.0,American Airlines Center,
Sat Nov 12 2022,8:30p,Houston Rockets,106,New Orleans Pelicans,119,Box Score,,15367.0,Smoothie King Center,
Sun Nov 13 2022,12:00p,Oklahoma City Thunder,145,New York Knicks,135,Box Score,,18325.0,Madison Square Garden (IV),
Sun Nov 13 2022,6:00p,Minnesota Timberwolves,129,Cleveland Cavaliers,124,Box Score,,19432.0,Rocket Mortgage Fieldhouse,
Sun Nov 13 2022,6:00p,Memphis Grizzlies,92,Washington Wizards,102,Box Score,,17667.0,Capital One Arena,
Sun Nov 13 2022,7:30p,Utah Jazz,98,Philadelphia 76ers,105,Box Score,,19761.0,Wells Fargo Center,
Sun Nov 13 2022,8:00p,Denver Nuggets,126,Chicago Bulls,103,Box Score,,21602.0,United Center,
Sun Nov 13 2022,9:00p,Golden State Warriors,115,Sacramento Kings,122,Box Score,,16410.0,Golden 1 Center,
Sun Nov 13 2022,9:30p,Brooklyn Nets,103,Los Angeles Lakers,116,Box Score,,18040.0,Crypto.com Arena,
Mon Nov 14 2022,7:00p,Toronto Raptors,115,Detroit Pistons,111,Box Score,,16988.0,Little Caesars Arena,
Mon Nov 14 2022,7:00p,Charlotte Hornets,112,Orlando Magic,105,Box Score,,15018.0,Amway Center,
Mon Nov 14 2022,7:30p,Oklahoma City Thunder,122,Boston Celtics,126,Box Score,,,TD Garden,
Mon Nov 14 2022,7:30p,Phoenix Suns,112,Miami Heat,113,Box Score,,19600.0,Kaseya Center,
Mon Nov 14 2022,8:00p,Los Angeles Clippers,122,Houston Rockets,106,Box Score,,16098.0,Toyota Center,
Mon Nov 14 2022,8:00p,Atlanta Hawks,121,Milwaukee Bucks,106,Box Score,,17341.0,Fiserv Forum,
Mon Nov 14 2022,10:00p,San Antonio Spurs,95,Golden State Warriors,132,Box Score,,18064.0,Chase Center,
Tue Nov 15 2022,7:30p,Memphis Grizzlies,102,New Orleans Pelicans,113,Box Score,,14032.0,Smoothie King Center,
Tue Nov 15 2022,8:30p,Los Angeles Clippers,101,Dallas Mavericks,103,Box Score,,19810.0,American Airlines Center,
Tue Nov 15 2022,9:00p,New York Knicks,118,Utah Jazz,111,Box Score,,18206.0,Vivint Arena,
